Core,Otu00001,Otu00002,Otu00003,Otu00004,Otu00005,Otu00006,Otu00008,Otu00009,Otu00010,Otu00012,Otu00013,Otu00014,Otu00015,Otu00016,Otu00018,Otu00019,Otu00022,Otu00023,Otu00024,Otu00025,Otu00027,Otu00028,Otu00029,Otu00030,Otu00032,Otu00033,Otu00035,Otu00036,Otu00038,Otu00039,Otu00040,Otu00041,Otu00044,Otu00045,Otu00046,Otu00047,Otu00048,Otu00049,Otu00050,Otu00051,Otu00052,Otu00053,Otu00054,Otu00058,Otu00059,Otu00061,Otu00064,Otu00067,Otu00068,Otu00069,Otu00071,Otu00073,Otu00076,Otu00078,Otu00079,Otu00081,Otu00083,Otu00084,Otu00086,Otu00090,Otu00091,Otu00093,Otu00094,Otu00095,Otu00096,Otu00105,Otu00108,Otu00110,Otu00120,Otu00123,Otu00127,Otu00128,Otu00131,Otu00132,Otu00145,Otu00153,Otu00155,Otu00157,Otu00162,Otu00165,Otu00169,Otu00177,Otu00181,Otu00185,Otu00189,Otu00191,Otu00197,Otu00200,Otu00205,Otu00208,Otu00211,Otu00217,Otu00225,Otu00240,Otu00243,Otu00250,Otu00252,Otu00258,Otu00259,Otu00310,Otu00315,Otu00334,Otu00338,Otu00371,Otu00380,Otu00386,Otu00422,Otu00516,Otu00755
11.6,0,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
25.15,466,20,0,0,27,0,0,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,42,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25.22,0,0,156,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54,0,196,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.47,0,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.49,0,0,0,226,0,0,0,233,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.51,0,0,0,0,646,0,0,0,64,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.59,180,0,0,0,189,0,0,0,0,0,0,0,195,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50.16,63,15,0,304,0,0,0,6,0,0,0,0,0,0,0,0,0,3,1,0,0,1,44,44,0,0,0,0,0,0,19,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,4,4,0,4,1,0,0,0,0,3,11,0,0,38,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,4,0,12,0,0,1,0
50.18,0,75,0,0,0,120,82,0,0,0,0,0,0,0,0,0,0,267,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
50.25,0,236,0,0,55,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76,19,0,0,0,0,54,0,0,0,0,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50.27,0,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
50.46,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.148,0,33,4,197,0,28,0,0,0,0,146,0,43,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
